Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.end_tokens	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.aggregate_feedforward.activations	model.aggregate_feedforward.dropout	model.aggregate_feedforward.hidden_dims	model.aggregate_feedforward.input_dim	model.aggregate_feedforward.num_layers	model.attend_feedforward.activations	model.attend_feedforward.dropout	model.attend_feedforward.hidden_dims	model.attend_feedforward.input_dim	model.attend_feedforward.num_layers	model.compare_feedforward.activations	model.compare_feedforward.dropout	model.compare_feedforward.hidden_dims	model.compare_feedforward.input_dim	model.compare_feedforward.num_layers	model.initializer	model.similarity_function.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.projection_dim	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_accuracy	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_clipping	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_loss	dataset_reader.sample	embedding
36	51	0.7653374233128835	0.6200379651217234	True	single_id	['@@NULL@@']	snli	70	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'linear']	['0.44560290995661656', '0.0']	[274, 2]	838	2	tanh	0.1584099710209425	240	108	1	tanh	0.08329225763427595	419	216	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	108	False	embedding	decomposable_attention	2817.864	0	11353	2281	1311	0.7737535277516463	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6417493149638176	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	8.670770268016607	140	1	0.005470014099688377	adagrad	20	+accuracy	0.922274961857942	2817.864	537.0	70	0	11353	2281	1311	0.19301170024889594	0	0.7576687116564417	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.6004882894811177	23596	glove
37	24	0.7875766871165644	0.5046310729923702	True	single_id	['@@NULL@@']	snli	43	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'linear']	['0.2862705957534364', '0.2862705957534364', '0.0']	[165, 165, 2]	390	3	tanh	0.2110155900478384	274	243	3	relu	0.4091398411783808	195	486	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	243	False	embedding	decomposable_attention	2818.6079999999997	0	11353	3185	2551	0.7685794920037629	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.5625404101960799	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	9.427320039337637	140	1	0.010560311256029218	adagrad	20	+accuracy	0.9300305136463808	2818.6079999999997	343.0	43	0	11353	3185	2551	0.17323252644521112	0	0.7783742331288344	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5709500625019982	23596	glove
38	24	0.4900306748466258	1.2192349888029552	True	single_id	['@@NULL@@']	snli	43	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'relu', 'linear']	['0.4571029536322611', '0.4571029536322611', '0.4571029536322611', '0.0']	[184, 184, 184, 2]	302	4	relu	0.3307302921021719	346	131	1	tanh	0.4063499968230216	151	262	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	131	False	embedding	decomposable_attention	2802.9040000000005	0	11353	2985	2919	0.5978363123236125	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.989740532987258	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.259849815248899	140	1	9.41230882145798e-06	adagrad	20	+accuracy	0.5291151042549584	2802.9040000000005	329.0	43	0	11353	2985	2919	1.8832917016373092	0	0.4892638036809816	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	1.1457976301511128	23596	glove
39	28	0.8266871165644172	0.8912858473403114	True	single_id	['@@NULL@@']	snli	47	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'linear']	['0.09978796085150943', '0.09978796085150943', '0.0']	[276, 276, 2]	740	3	tanh	0.09863083511172023	336	78	1	relu	0.198988729914624	370	156	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	78	False	embedding	decomposable_attention	2803.756	0	11353	2911	2003	0.7855126999059266	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	1.2610782533884048	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.288945228989616	140	1	0.00905137745958272	adagrad	20	+accuracy	0.9916087472452958	2803.756	339.0	47	0	11353	2911	2003	0.023529293070967516	0	0.8128834355828221	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	1.1026847603775205	23596	glove
40	12	0.7062883435582822	0.5834448536237081	True	single_id	['@@NULL@@']	snli	31	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'linear']	['0.35252161245229036', '0.35252161245229036', '0.0']	[284, 284, 2]	160	3	relu	0.4588603134274618	118	182	2	tanh	0.2759116739096896	80	364	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	182	False	embedding	decomposable_attention	2802.244	0	11353	1465	3969	0.6702728127939793	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6038224022178089	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	5.593223008947383	140	1	0.0004854522304963089	adagrad	20	+accuracy	0.6743092049499915	2802.244	234.00000000000003	31	0	11353	1465	3247	0.6203312253564354	0	0.6932515337423313	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.57973855308124	23596	glove
41	115	0.7354294478527608	0.5492183466752371	True	single_id	['@@NULL@@']	snli	134	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'linear']	['0.1725153924500341', '0.1725153924500341', '0.0']	[159, 159, 2]	968	3	relu	0.09110232406948338	139	294	1	relu	0.14481315831135605	484	588	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	294	False	embedding	decomposable_attention	2803.812	0	11353	1617	3005	0.7638758231420508	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.5053389843772439	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	7.834692770098858	140	1	8.945921557566573e-05	adagrad	20	+accuracy	0.8084844888964231	2803.812	959.0	134	0	11353	1617	3005	0.419835314515544	0	0.7300613496932515	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5530184393837339	23596	glove
42	2	0.5038343558282209	0.6992476809592474	True	single_id	['@@NULL@@']	snli	21	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'tanh', 'linear']	['0.09138358645276085', '0.09138358645276085', '0.09138358645276085', '0.0']	[505, 505, 505, 2]	170	4	tanh	0.25735538269833946	374	187	3	relu	0.1188020886738274	85	374	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	187	False	embedding	decomposable_attention	2804.788	0	11353	2647	3247	0.3960489181561618	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.7194362440529991	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	8.414297977660974	140	1	0.06030711765369515	adagrad	20	+accuracy	0.6148075945075436	2804.788	182.0	21	0	11353	2647	3247	0.6763005334187329	0	0.4961656441717792	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7971556044760204	23596	glove
43	0	0.4961656441717792	0.6922248942511422	True	single_id	['@@NULL@@']	snli	19	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'linear']	['0.14951794068797525', '0.0']	[92, 2]	582	2	relu	0.08832648542731197	87	264	2	tanh	0.2848508587693179	291	528	3	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	264	False	embedding	decomposable_attention	2803.196	0	11353	1683	1277	0.6039510818438382	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6759195108624065	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	8.749721819724776	140	1	0.022618440604126086	adagrad	20	+accuracy	0.6354466858789626	2803.196	149.0	19	0	11353	1683	1277	0.6425322461822814	0	0.4961656441717792	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7067388040678841	23596	glove
44	0	0.5230061349693251	1.1133300151143757	True	single_id	['@@NULL@@']	snli	19	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['relu', 'relu', 'linear']	['0.236230055150483', '0.236230055150483', '0.0']	[239, 239, 2]	556	3	relu	0.4293690261429969	318	194	1	tanh	0.4302373877596479	278	388	1	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	194	False	embedding	decomposable_attention	2802.8520000000003	0	11353	1617	2799	0.4858889934148636	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	1.1333731623256909	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	7.526376241395656	140	1	1.052810428307157e-06	adagrad	20	+accuracy	0.5221223936260383	2802.836	144.0	19	0	11353	1617	2799	1.6423289624009998	0	0.4647239263803681	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	1.0687027374903362	23596	glove
45	16	0.7039877300613497	0.6271623018242064	True	single_id	['@@NULL@@']	snli	35	True	64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket	['tanh', 'tanh', 'linear']	['0.3500635255455813', '0.3500635255455813', '0.0']	[393, 393, 2]	610	3	relu	0.2610119550665567	84	85	3	relu	0.41030986515224205	305	170	2	[['.*linear_layers.*weight', {'type': 'xavier_normal'}], ['.*token_embedder_tokens\\._projection.*weight', {'type': 'xavier_normal'}]]	dot_product	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.300d.txt.gz	85	False	embedding	decomposable_attention	2807.312	0	11353	1245	2919	0.7135465663217309	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_test.txt	0.6330238896257737	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_train.txt	0	9.246963304787467	140	1	0.001549110615158664	adagrad	20	+accuracy	0.8137396168842177	2807.312	277.0	35	0	11353	1245	2919	0.41783606237794974	0	0.6947852760736196	/home/suching/reproducibility/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.6541971734591893	23596	glove
