	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.num_epochs	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
804	7	0.259763851044505	492.74329245431085	False		True	single_id	just_spaces	semisupervised_text_classification_json	11	32	basic	0.2					300.0			[1, 2, 3, 4, 5, 6, 7]	261		416.0	cnn	seq2vec	300.0	True	embedding	classifier	2562.104	1007	687	747	981	701	833	791	707	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0175	adam	5	+accuracy	0.4571629213483146	2562.088	00:01:38	11	1007	687	747	981	701	833	791	707	20.55719862694151	0	0.2506811989100817	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	718.5257290431431
805	1	0.37057220708446864	1.5830259050641742	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.1					300.0			[1, 2, 3, 4, 5, 6]	130		367.0	cnn	seq2vec	300.0	True	embedding	classifier	2554.972	725	747	777	701	705	723	1189	797	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0052	adam	5	+accuracy	0.8314606741573034	2554.968	00:00:41	5	725	747	777	701	705	723	307	149	0.7617703577998872	0	0.32697547683923706	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	6.323648084912981
806	2	0.3578564940962761	7.54322828565325	False		True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.3			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2548.464	747	1051	687	687	761	1117	839	753	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0804	adam	5	+accuracy	0.8505383895131086	2548.428	00:00:37	6	301	837	687	687	761	1117	837	753	2.049933641814114	0	0.3478655767484105	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	18.09831771850586
807	0	0.27974568574023617	1.7291614770889283	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0		maxpool		True		186.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2593.136	851	865	1085	735	753	741	731	1177	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0973	adam	5	+accuracy	0.23829588014981273	2593.136	00:00:59	4	851	865	1085	0	753	737	731	1177	2.4821292737896523	0	0.16439600363306087	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.9215229647500176
808	0	0.2652134423251589	1.7267674582345145	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0		final_state		True		323.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2576.348	729	949	817	781	829	1067	855	883	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0421	adam	5	+accuracy	0.22343164794007492	2576.264	00:01:03	4	729	949	817	781	829	1067	855	10	1.9383910041623347	0	0.2025431425976385	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9808715070996965
809	0	0.3905540417801998	1.3493780136108398	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.2			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2548.252	687	769	775	685	685	727	787	745	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0202	adam	5	+accuracy	0.9511938202247191	2548.252	00:00:29	4	181	769	775	685	685	401	787	745	0.15714720720320605	0	0.33424159854677565	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.8484232698168075
810	4	0.2652134423251589	1.646726863724845	False		True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.1		attention		True		138.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2560.708	685	687	741	713	749	785	701	749	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0822	adam	5	+accuracy	0.2636938202247191	2560.7	00:01:46	8	685	687	373	713	749	687	331	749	1.616242551624998	0	0.24341507720254316	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6077117885862078
811	0	0.3860127157129882	1.3401636907032557	False		True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3		meanpool		True		271.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2559.752	717	769	749	687	733	835	749	687	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0068	adam	5	+accuracy	0.9652387640449438	2559.748	00:00:51	4	717	767	749	687	733	835	749	0	0.10592190497153707	0	0.3496821071752952	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.8961619445255824
812	1	0.405086285195277	1.4257293496813093	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2					300.0			[1, 2, 3, 4, 5, 6, 7, 8]	459		356.0	cnn	seq2vec	300.0	True	embedding	classifier	2556.636	715	745	893	879	731	729	749	741	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0003	adam	5	+accuracy	0.9978932584269663	2556.636	00:00:51	5	715	745	893	879	10	729	749	741	0.012429387633050426	0	0.3505903723887375	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.7641740594591413
813	3	0.24613987284287012	2.491387755530221	False		True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.4		final_state		True		307.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2564.82	715	855	795	713	685	871	731	893	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0577	adam	5	+accuracy	0.22951779026217228	2564.74	00:01:12	7	715	855	237	713	685	353	731	2	3.0392140306337048	0	0.22161671207992734	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.8951067107064383
814	2	0.2506811989100817	1799.397670200893	False		True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.2					300.0			[1, 2, 3, 4, 5, 6, 7]	403		209.0	cnn	seq2vec	300.0	True	embedding	classifier	2567.416	927	687	1007	709	845	961	1197	697	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0315	adam	5	+accuracy	0.41467696629213485	2567.4	00:00:56	6	867	687	1007	581	845	807	787	10	3515.5777473306835	0	0.24704813805631246	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	12257.968162318639
815	1	0.3814713896457766	2.4550722360610964	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.4			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2556.092	719	801	751	785	687	709	745	687	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0488	adam	5	+accuracy	0.8659878277153558	2556.092	00:00:31	5	719	687	751	785	687	685	745	685	0.7677478899949053	0	0.33969118982742963	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	7.304528754098075
816	9	0.3142597638510445	1.5459006684167045	False		True	single_id	just_spaces	semisupervised_text_classification_json	13	32	basic	0.1		attention		True		267.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2562.316	745	871	847	739	755	995	807	811	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0271	adam	5	+accuracy	0.34129213483146065	2562.312	00:03:05	13	739	871	847	687	219	291	807	687	1.509647337684917	0	0.2615803814713896	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.5849270752498081
817	11	0.27974568574023617	651.8236267089844	False		True	single_id	just_spaces	semisupervised_text_classification_json	15	32	basic	0.2					300.0			[1, 2, 3, 4, 5, 6]	357		393.0	cnn	seq2vec	300.0	True	embedding	classifier	2565.544	915	871	847	739	755	765	807	811	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0154	adam	5	+accuracy	0.50187265917603	2565.536	00:01:56	15	915	871	847	10	751	735	807	687	31.912054733167427	0	0.2098092643051771	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2050.6087899344307
818	2	0.3505903723887375	7.282623931339809	False		True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.2			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2554.456	687	751	687	875	865	775	791	693	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0795	adam	5	+accuracy	0.8587312734082397	2554.452	00:00:39	6	687	751	687	875	865	775	791	693	1.8158799452281624	0	0.3369663941871026	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	18.51689864567348
819	4	0.36239782016348776	1.6256425891603743	False		True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.4		meanpool		True		326.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2558.528	741	837	933	759	701	1225	847	741	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0242	adam	5	+accuracy	0.5871956928838952	2558.528	00:01:29	8	687	685	905	759	701	915	687	741	1.0599108311567413	0	0.3614895549500454	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.859110426902771
820	7	0.34150772025431425	11.811377906799317	False		True	single_id	just_spaces	semisupervised_text_classification_json	11	32	basic	0.0					300.0			[1, 2, 3, 4, 5, 6, 7]	409		336.0	cnn	seq2vec	300.0	True	embedding	classifier	2562.86	879	1247	933	981	755	825	741	703	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0063	adam	5	+accuracy	0.9486189138576779	2562.852	00:01:29	11	879	1247	933	981	755	825	737	703	0.18185148817881217	0	0.33787465940054495	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	15.72783111844744
821	4	0.2579473206176203	3973.126461356027	False		True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.2					300.0			[1, 2, 3, 4, 5, 6, 7]	335		335.0	cnn	seq2vec	300.0	True	embedding	classifier	2561.036	763	721	875	801	937	717	877	905	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0325	adam	5	+accuracy	0.4547050561797753	2561.036	00:01:07	8	763	721	687	801	937	717	877	905	812.3860485033596	0	0.25703905540417804	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	6620.080862862723
822	5	0.2706630336058129	28.843832179478238	False		True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.0					300.0			[1, 2, 3, 4, 5]	474		186.0	cnn	seq2vec	300.0	True	embedding	classifier	2563.948	763	715	919	789	1097	717	1069	829	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0149	adam	5	+accuracy	0.5365168539325843	2563.864	00:01:08	9	763	687	919	789	863	687	499	685	7.418786726640851	0	0.25158946412352406	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	115.84193398611886
823	1	0.3569482288828338	2.7062439135142733	False		True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.4			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2550.124	685	739	687	687	907	737	885	815	/home/suching/reproducibility/data/sst/train.jsonl	0	50	0.0564	adam	5	+accuracy	0.8459737827715356	2550.112	00:00:35	5	685	739	687	685	907	505	885	815	1.1379283953472024	0	0.34514078110808355	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	9.151635823931013
