Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_accuracy3	best_validation_loss	dataset_reader.granularity	dataset_reader.token_indexers.tokens.type	dataset_reader.type	dataset_reader.use_subtrees	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.embedding_dropout	model.encoder.bidirectional	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.integrator.bidirectional	model.integrator.hidden_size	model.integrator.input_size	model.integrator.num_layers	model.integrator.type	model.integrator_dropout	model.output_layer.dropout	model.output_layer.input_dim	model.output_layer.num_layers	model.output_layer.output_dims	model.output_layer.pool_sizes	model.pre_encode_feedforward.activations	model.pre_encode_feedforward.dropout	model.pre_encode_feedforward.hidden_dims	model.pre_encode_feedforward.input_dim	model.pre_encode_feedforward.num_layers	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_accuracy	test_accuracy3	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_accuracy3	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_accuracy3	validation_data_path	validation_dataset_reader.granularity	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.type	validation_dataset_reader.use_subtrees	validation_loss	embedding
31	15	0.8176605504587156	1.0	0.4237459514822279	2-class	single_id	sst_tokens	True	24	True	64	[['tokens', 'num_tokens']]	bucket	0.2	True	472	216	2	lstm	True	302	2832	3	lstm	0.1	[0.4, 0.4, 0]	2416	3	[350, 350, 2]	6	tanh	0.2	[216, 216, 216]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2974.988	3108	5062	2069	1861	0.8209774848984075	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3940117225564759	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	4.20834307698758e-06	adam	10	+accuracy	0.8647691155333321	1.0	2974.988	2213.0	24	3108	3720	1951	1861	0.3153879027210485	0	0.8165137614678899	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.4214777478149959	glove
32	5	0.8038990825688074	1.0	0.4389580573354449	2-class	single_id	sst_tokens	True	14	True	64	[['tokens', 'num_tokens']]	bucket	0.3	True	209	103	2	lstm	True	203	1254	1	lstm	0.0	[0.3, 0.3, 0.3, 0]	1624	4	[226, 226, 226, 2]	6	relu	0.4	[103, 103, 103]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2822.4959999999996	2426	4916	2157	2289	0.8099945085118067	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.4201228202416979	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	5.682009337488829e-06	adam	10	+accuracy	0.8393121039739255	1.0	2822.4959999999996	1063.0	14	2426	4310	851	2001	0.3637906416160069	0	0.8004587155963303	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.4309539731059756	glove
33	11	0.7958715596330275	1.0	0.4612011632749013	2-class	single_id	sst_tokens	True	20	True	64	[['tokens', 'num_tokens']]	bucket	0.1	True	101	475	2	lstm	True	326	606	2	lstm	0.3	[0.2, 0]	2608	2	[332, 2]	3	relu	0.1	[475, 475, 475]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2833.768	3561	5048	2813	1978	0.7979132344865458	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.4492617753045312	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	1.1721276121971602e-06	adam	10	+accuracy	0.8390792963135413	1.0	2833.768	1481.0	20	1922	4394	2813	1473	0.39833667946718826	0	0.7924311926605505	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.4582298951489585	glove
34	13	0.8704128440366973	1.0	0.4043773178543363	2-class	single_id	sst_tokens	True	22	True	64	[['tokens', 'num_tokens']]	bucket	0.3	True	145	247	3	lstm	True	428	870	3	lstm	0.1	[0.4, 0.4, 0.4, 0]	3424	4	[174, 174, 174, 2]	6	tanh	0.3	[247, 247, 247]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2897.968	3561	5094	2187	1882	0.8819330038440417	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.3115909140685509	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	6	0.5	2	reduce_on_plateau	50	1	0.00013427698337580013	adam	10	+accuracy	0.9535093224284876	1.0	2897.968	2232.0	22	455	4776	977	1393	0.12179394092632775	0	0.8600917431192661	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.3870368972420693	glove
35	5	0.8348623853211009	1.0	0.4614741578698158	2-class	single_id	sst_tokens	True	14	True	64	[['tokens', 'num_tokens']]	bucket	0.0	True	330	230	2	lstm	True	148	1980	3	lstm	0.4	[0.2, 0.2, 0]	1184	3	[245, 245, 2]	4	relu	0.0	[230, 230, 230]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2838.636	2706	3412	1551	2423	0.8506315211422295	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.4353978495145666	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	6	0.5	2	reduce_on_plateau	50	1	0.00014740958172312031	adam	10	+accuracy	0.9783893758730288	1.0	2838.636	1219.0	14	2352	3040	1551	2423	0.0619176419468722	0	0.8142201834862385	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.7090021627289909	glove
36	7	0.8509174311926605	1.0	0.4531130130801882	2-class	single_id	sst_tokens	True	16	True	64	[['tokens', 'num_tokens']]	bucket	0.3	True	306	413	1	lstm	True	396	1836	1	lstm	0.0	[0, 0, 0, 0]	3168	4	[428, 428, 428, 2]	3	relu	0.3	[413, 413, 413]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2853.728	2367	4776	2813	1982	0.8599670510708401	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.39008977187090893	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.0004233872582202997	adam	10	+accuracy	0.9742494483470656	1.0	2853.728	1068.0	16	1922	4432	2813	10	0.06659437459230018	0	0.8451834862385321	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.6033409642321723	glove
37	1	0.8153669724770642	1.0	0.4900235171828951	2-class	single_id	sst_tokens	True	10	True	64	[['tokens', 'num_tokens']]	bucket	0.4	True	494	282	2	lstm	True	239	2964	1	lstm	0.4	[0.3, 0.3, 0.3, 0]	1912	4	[74, 74, 74, 2]	5	tanh	0.3	[282, 282, 282]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2878.848	3372	5294	2603	1807	0.7940691927512356	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.4715584254470365	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	8	0.5	2	reduce_on_plateau	50	1	0.005171531157231869	adam	10	+accuracy	0.9330222483146751	1.0	2878.848	862.0	10	3372	2720	2603	1807	0.19966861645454648	0	0.8061926605504587	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.4967645066125052	glove
38	3	0.8337155963302753	1.0	0.4873258258615221	2-class	single_id	sst_tokens	True	12	True	64	[['tokens', 'num_tokens']]	bucket	0.0	True	281	278	2	lstm	True	307	1686	3	lstm	0.0	[0, 0, 0, 0]	2456	4	[343, 343, 343, 2]	6	relu	0.2	[278, 278, 278]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2883.1	3256	4841	2263	2423	0.8330587589236683	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.4274366888506659	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	9	0.5	2	reduce_on_plateau	50	1	0.00015673543187100654	adam	10	+accuracy	0.9757778812478491	1.0	2883.1	1063.0	12	2194	4188	2263	10	0.0662506672383619	0	0.8199541284403671	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.7923842370510101	glove
39	14	0.8107798165137615	1.0	0.41639179629938944	2-class	single_id	sst_tokens	True	23	True	64	[['tokens', 'num_tokens']]	bucket	0.1	True	97	128	2	lstm	True	497	582	3	lstm	0.2	[0, 0, 0, 0]	3976	4	[469, 469, 469, 2]	6	tanh	0.2	[128, 128, 128]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2909.288	3710	5282	2603	1807	0.8248215266337178	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.38299914783444894	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	5	0.5	2	reduce_on_plateau	50	1	5.736965766804656e-06	adam	10	+accuracy	0.8784744012794299	1.0	2909.288	2266.0	23	455	4230	10	10	0.28928965217689623	0	0.8107798165137615	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.4183990380593709	glove
40	1	0.5091743119266054	1.0	0.6959388681820461	2-class	single_id	sst_tokens	True	10	True	64	[['tokens', 'num_tokens']]	bucket	0.0	True	179	167	3	lstm	True	405	1074	3	lstm	0.0	[0.4, 0.4, 0.4, 0]	3240	4	[454, 454, 454, 2]	4	relu	0.4	[167, 167, 167]	300	3	300	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz	True	embedding	bcn	2917.052	2316	5410	2157	3590	0.499176276771005	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/test.txt	0.6972971024184391	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/train.txt	0	7	0.5	2	reduce_on_plateau	50	1	0.007916486925923491	adam	10	+accuracy	0.5403971901127599	1.0	2917.052	1036.0	10	2316	5410	851	2289	0.7006845439499524	0	0.5091743119266054	1.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/sst/dev.txt	2-class	single_id	sst_tokens	False	0.7195137270859309	glove
