Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	vocabulary.max_vocab_size
10	19	0.8606	0.3218147961210601	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	28	False	64	basic	0.0		['attention maxpool final_state']		True		508.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4477.72	13357	5643.0	9809.0	7781.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	5.328428459990697e-05	adam	10	+accuracy	0.87965	4477.72	4478.0	28	13357	3141.0	9809.0	4045.0	0.2880410075473329	0	0.8604	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.32049863851523097	10000
11	4	0.9086	0.2337736285562757	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	13	False	64	basic	0.4		['final_state attention maxpool meanpool']		True		273.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4445.828	5181	7657.0	3891.0	14255.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0007225629591378757	adam	10	+accuracy	0.9972	4445.828	1420.0	13	5181	7657.0	2971.0	14255.0	0.013520561366940078	0	0.8992	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5116527503992938	10000
12	1	0.9104	0.22356951859178426	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	10	False	64	basic	0.2		['maxpool attention meanpool']		True		435.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4442.384	13183	10493.0	10005.0	3619.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0052410162591787724	adam	10	+accuracy	1.0	4442.384	1020.0	10	13183	10493.0	10005.0	3619.0	0.0002914272581997771	0	0.9006	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6718900920469549	10000
13	19	0.8406	0.3638820166263399	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	28	False	64	basic	0.3		['meanpool']		True		323.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4450.516	13183	10493.0	10005.0	6301.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	5.249029748950227e-05	adam	10	+accuracy	0.8559	4450.516	3116.0	28	3591	10493.0	10005.0	3619.0	0.33846419011822904	0	0.8392	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.3623429335936715	10000
14	15	0.7542	0.5089619985864132	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	24	False	64	basic	0.0		['attention maxpool final_state']		True		457.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4471.712	13357	4629.0	9809.0	7781.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	4.475777123044898e-06	adam	10	+accuracy	0.75945	4469.936	3640.0	24	5887	3141.0	9809.0	4645.0	0.5011475911726967	0	0.7518	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5067996126186999	10000
15	25	0.9026	0.2607505566711667	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	34	False	64	basic	0.4		['attention meanpool final_state maxpool']		True		96.0	50.0			3.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4453.0920000000015	13357	4629.0	9809.0	4645.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0002776446664680844	adam	10	+accuracy	0.94215	4453.0920000000015	4382.0	34	9935	3141.0	2643.0	4645.0	0.15985167391907673	0	0.9018	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2608781822874576	10000
16	19	0.8088	0.42438468280472336	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	28	False	64	basic	0.2		['final_state maxpool meanpool']		True		92.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4445.76	13917	3353.0	5463.0	8623.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	3.639478577250904e-05	adam	10	+accuracy	0.81825	4445.76	2860.0	28	13917	3353.0	5463.0	8623.0	0.4076481238245584	0	0.8082	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4235372277377527	10000
17	1	0.91	0.2253747659770748	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	10	False	64	basic	0.4		['maxpool meanpool']		True		295.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4387.4	7594					s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.006083117357764834	adam	10	+accuracy	0.9946	4387.312	1111.0	10	7594				0.018032024006029	0	0.885	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6612220873372464	10000
18	17	0.8312	0.3830640387685993	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	26	False	64	basic	0.1		['attention maxpool meanpool final_state']		True		150.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4444.988	13917	10889.0	3955.0	6603.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	3.7922988932151535e-05	adam	10	+accuracy	0.8427	4444.984	2871.0	26	13917	3169.0	3955.0	5955.0	0.3636975201269308	0	0.8304	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.3814012159275103	10000
19	18	0.8788	0.2871886326731006	False	20000	True	single_id	just_spaces	semisupervised_text_classification_json	27	False	64	basic	0.0		['meanpool']		True		101.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	4436.304	13183	10493.0	10005.0	3619.0		s3://suching-dev/final-datasets/imdb/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0002273330738428763	adam	10	+accuracy	0.91535	4436.304	1739.0	27	3591	10493.0	10005.0	3619.0	0.21524697889725625	0	0.878	s3://suching-dev/final-datasets/imdb/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.2905538311298889	10000
